rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
1221.83,4563,101.17,1269760,155,278,1540,-0.04144512472921633,0.8179839998483658,0.15651017,0.0003,0.2,0.10057644546031952,0.36075439453125,-0.49856302959378807,0.9142740407842211,,
1195.61,4593,102.73,1277952,156,278,1550,-0.041680892294971274,0.7634395509958267,0.16234668,0.0003,0.2,0.41289326548576355,0.36075439453125,-0.5035515110241249,1.263544623850612,,
,,,1280000,,,1560,-0.042278062527475416,0.7550029158592224,0.15465337,0.0003,0.2,0.19809100031852722,0.3464111328125,-0.4981925791595131,1.2262279812130146,1309.0,128.8
1170.62,4627,97.53,1286144,157,277,,,,,,,,,,,,
1172.42,4656,95.91,1294336,158,277,1570,-0.04271589881464024,0.721624881029129,0.15879089,0.0003,0.2,0.03344765305519104,0.36090087890625,-0.5117514919955284,1.2729723570402711,,
1141.15,4685,87.79,1302528,159,278,1580,-0.03802171417264617,0.6695578098297119,0.15496206,0.0003,0.2,1.082444667816162,0.35146484375,-0.5069827957544476,1.5746284950640983,,
1148.03,4714,89.79,1310720,160,278,1590,-0.03793941427429672,0.6881509125232697,0.1458332,0.0003,0.2,0.7984867095947266,0.3481201171875,-0.5082545711426064,1.6035946881282144,,
1167.58,4742,95.98,1318912,161,278,1600,-0.04143582949327538,0.7081307768821716,0.17541757,0.0003,0.2,0.04404081404209137,0.356298828125,-0.48724978913087397,1.2315743433893658,,
,,,1320000,,,1610,-0.04159590659182868,0.6653774678707123,0.19096544,0.0003,0.2,0.11693929135799408,0.362060546875,-0.4867293616523966,1.2990943290526047,1458.0,142.6
1197.34,4775,106.25,1327104,162,277,,,,,,,,,,,,
1219.46,4803,113.86,1335296,163,277,1620,-0.04084979573308374,0.7163297832012177,0.19673163,0.0003,0.2,0.1306813806295395,0.35975341796875,-0.48180621601641177,1.1386863921536132,,
1224.61,4833,113.36,1343488,164,277,1630,-0.04206886580032006,0.7254491746425629,0.18859166,0.0003,0.2,0.08950475603342056,0.3544677734375,-0.4705289700767025,1.0404514721943996,,
1239.29,4862,116.4,1351680,165,278,1640,-0.042262901089998195,0.7631342113018036,0.18828097,0.0003,0.2,0.09839379042387009,0.3427001953125,-0.4770389555720612,1.0313561981427484,,
1261.82,4890,119.57,1359872,166,278,1650,-0.03688664193687145,0.743624210357666,0.14985988,0.0003,0.2,0.340713232755661,0.31629638671875,-0.4576852268306538,1.22900968817994,,
,,,1360000,,,1660,-0.04150426434644032,0.7517005056142807,0.18067504,0.0003,0.2,0.17778828740119934,0.3380126953125,-0.4629800703842193,1.0632540185353718,1368.4,147.2
1269.98,4924,120.91,1368064,167,277,,,,,,,,,,,,
1297.08,4953,124.36,1376256,168,277,1670,-0.039195633716735755,0.773808091878891,0.1814484,0.0003,0.2,0.13371717929840088,0.338525390625,-0.44729107262101025,1.240719858999364,,
1247.13,4981,117.33,1384448,169,277,1680,-0.03861069910271908,0.7662437111139297,0.17103778,0.0003,0.2,0.22452375292778015,0.33011474609375,-0.4400502893840894,1.3056598303606735,,
1198.24,5010,108.12,1392640,170,277,1690,-0.034604845132707854,0.6814106106758118,0.17950143,0.0003,0.2,0.28948548436164856,0.36728515625,-0.4982964714989066,1.650259862211533,,
,,,1400000,,,1700,-0.040149817171186444,0.6632446348667145,0.1891654,0.0003,0.2,2.026608943939209,0.35738525390625,-0.4998774803476408,1.695348340435885,1480.6,153.4
1201.68,5045,107.0,1400832,171,277,,,,,,,,,,,,
1193.15,5076,101.8,1409024,172,277,1710,-0.03959676615486387,0.7504429221153259,0.17387703,0.0003,0.2,0.16442245244979858,0.34927978515625,-0.46988841670099646,1.36967999918852,,
1213.87,5106,103.79,1417216,173,277,1720,-0.041839633634663184,0.7707039266824722,0.16215639,0.0003,0.2,0.06340812891721725,0.352197265625,-0.49548582683783027,1.3465748281567358,,
1213.99,5135,103.43,1425408,174,277,1730,-0.042866447461710776,0.7217888534069061,0.17339912,0.0003,0.2,0.906696617603302,0.359912109375,-0.5036032129079103,1.5709305011085235,,
1204.85,5163,100.65,1433600,175,277,1740,-0.03748744855838595,0.7183945775032043,0.14340296,0.0003,0.2,0.11528825759887695,0.3362060546875,-0.48301695815753193,1.6993579803500325,,
,,,1440000,,,1750,-0.04114590991448495,0.754456028342247,0.15454535,0.0003,0.2,0.1631108969449997,0.34931640625,-0.4999614418717101,1.2758086078742052,1337.6,121.0
1176.08,5195,98.94,1441792,176,277,,,,,,,,,,,,
1160.01,5224,95.36,1449984,177,277,1760,-0.03795301645222935,0.7208824753761292,0.16070892,0.0003,0.2,0.2515681982040405,0.36378173828125,-0.5090680354274809,1.7752970911096781,,
1128.66,5254,91.95,1458176,178,277,1770,-0.040527571240818364,0.7273811995983124,0.16387652,0.0003,0.2,0.15690036118030548,0.354833984375,-0.49687038545962425,1.4394767916179263,,
1102.84,5283,86.34,1466368,179,277,1780,-0.03981983745179605,0.6834000051021576,0.15347753,0.0003,0.2,0.5510674715042114,0.3687744140625,-0.5454231544863433,1.4126721269101836,,
1147.63,5311,91.65,1474560,180,277,1790,-0.04391579659495619,0.7039061784744263,0.15558015,0.0003,0.2,0.4326150119304657,0.3568359375,-0.5293807935900986,1.7383773945039138,,
,,,1480000,,,1800,-0.04150153667142149,0.7427254617214203,0.14673598,0.0003,0.2,0.15889976918697357,0.35362548828125,-0.49943173830397425,1.40239849826321,1389.4,134.8
1198.85,5345,99.92,1482752,181,277,,,,,,,,,,,,
1233.2,5373,104.5,1490944,182,277,1810,-0.03882322152348934,0.7268295884132385,0.14367145,0.0003,0.2,0.3825211226940155,0.3451416015625,-0.5080288390163332,1.4714491637307219,,
1255.86,5400,108.4,1499136,183,277,1820,-0.03997748069377849,0.7462022304534912,0.16596302,0.0003,0.2,0.15177932381629944,0.35924072265625,-0.5248428086517378,1.507632319960976,,
1207.24,5428,104.62,1507328,184,277,1830,-0.04046044602146139,0.7131657302379608,0.14336571,0.0003,0.2,0.6036288142204285,0.3517578125,-0.5146227220771834,1.425810380850453,,
1167.14,5456,100.21,1515520,185,277,1840,-0.04378791500203079,0.8049523681402206,0.14219901,0.0003,0.2,0.17577406764030457,0.35621337890625,-0.512538879737258,1.1502992916386574,,
,,,1520000,,,1850,-0.03985381804413919,0.7694933414459229,0.14904284,0.0003,0.2,0.43006429076194763,0.34439697265625,-0.5188951377989725,1.8045336069888436,1239.0,112.2
1124.84,5491,93.99,1523712,186,277,,,,,,,,,,,,
1116.46,5519,90.58,1531904,187,277,1860,-0.04244168268269277,0.7757392227649689,0.1541021,0.0003,0.2,0.18448510766029358,0.34912109375,-0.5214490803657099,1.3416859573102555,,
1145.1,5547,90.02,1540096,188,277,1870,-0.04482334826825536,0.7118965685367584,0.1579293,0.0003,0.2,0.162602961063385,0.36405029296875,-0.5416768156224862,1.3982236559386365,,
1147.49,5576,87.96,1548288,189,277,1880,-0.0407607771565381,0.6096721887588501,0.17053169,0.0003,0.2,0.7640760540962219,0.3783447265625,-0.5426706959493458,1.5636237804661506,,
1167.95,5605,92.35,1556480,190,277,1890,-0.043667427116452016,0.6966575682163239,0.18027958,0.0003,0.2,0.15475371479988098,0.36168212890625,-0.5172771354205906,1.5327486506430432,,
,,,1560000,,,1900,-0.04425016962049995,0.7299767732620239,0.17690882,0.0003,0.2,0.2551285922527313,0.372900390625,-0.5350453550694511,1.0685322636680212,1301.4,118.0
1108.47,5642,86.21,1564672,191,277,,,,,,,,,,,,
1083.85,5671,80.93,1572864,192,277,1910,-0.040395523067127216,0.6255466938018799,0.1853884,0.0003,0.2,0.08009152114391327,0.37894287109375,-0.5438476937590166,1.4610522114438935,,
1119.18,5702,84.06,1581056,193,277,1920,-0.041923962793225654,0.5631679892539978,0.17872158,0.0003,0.2,0.3431859314441681,0.38338623046875,-0.5513011116534472,1.5620221282588318,,
1133.49,5732,84.86,1589248,194,277,1930,-0.04329141025082208,0.6645696759223938,0.16693364,0.0003,0.2,0.40638312697410583,0.35255126953125,-0.5185489343479276,1.253325358533766,,
1184.42,5763,88.2,1597440,195,277,1940,-0.04213679152308032,0.5455612540245056,0.1623505,0.0003,0.2,0.22119690477848053,0.3690185546875,-0.5246069923043251,1.4071268491330557,,
,,,1600000,,,1950,-0.041063978691818194,0.5759452283382416,0.17984414,0.0003,0.2,0.08757679909467697,0.353076171875,-0.4933017063885927,1.1905362464021891,1359.8,119.0
1181.89,5796,92.04,1605632,196,277,,,,,,,,,,,,
1187.76,5824,92.72,1613824,197,277,1960,-0.038851468579377976,0.6101417243480682,0.1867657,0.0003,0.2,0.8873789310455322,0.35101318359375,-0.49065055591054263,1.4786317083286122,,
1192.38,5852,95.5,1622016,198,277,1970,-0.038363518279220445,0.656929224729538,0.15706739,0.0003,0.2,0.9534153938293457,0.34111328125,-0.49472612915560604,1.4349002697737887,,
1193.87,5881,99.76,1630208,199,277,1980,-0.0409876127167081,0.6882448196411133,0.16849145,0.0003,0.2,0.025655478239059448,0.33721923828125,-0.4712034481810406,1.3250794457038864,,
1205.81,5909,96.72,1638400,200,277,1990,-0.044712132002678116,0.6712836623191833,0.15943168,0.0003,0.2,0.68874192237854,0.33804931640625,-0.4794289617566392,1.3218627093709074,,
,,,1640000,,,2000,-0.041786893640892234,0.6847457587718964,0.18607281,0.0003,0.2,0.6514366865158081,0.35130615234375,-0.4750003791414201,1.2222320891800336,1190.4,86.8
